Ticker Profit_Weekly Profit_General Weeks_Simulated
WMB 92.19348907470703 18.213706970214844 25
CDNS 288.6199645996094 553.7999572753906 25
DIS 120.35005187988281 173.2100372314452 25
PGR 649.4575805664072 254.53408813476562 25
REG -53.79465866088856 -41.46285629272438 25
MOS -103.48493003845215 -133.44900703430176 25
AIZ 21.522003173828125 68.47184753417969 25
BR -100.19929504394531 -121.71293640136719 25
EMN 163.1155548095703 261.5596160888672 25
WAT -243.26998901367188 138.04998779296875 25
DVA 167.54994964599587 67.25997161865212 25
CHTR -1184.6403198242188 -1559.6404418945312 25
ROL 39.540260314941406 24.98566436767578 25
HD -296.989013671875 -349.1556396484375 25
ADA-USD -1.5426177680492401 -0.04116579890251165 25
LYB -1.3229904174809235 37.6992568969722 25
CHD 191.41422271728516 79.264892578125 25
SYF 35.535438537597656 6.022838592529304 25
HPE 56.89995765686035 88.23198699951172 25
HLT 249.5266876220703 131.15802001953125 25
BLDR -248.2400360107422 200.2799530029297 25
KO 72.22395706176758 77.43323135375977 25
BBWI 30.88528823852539 16.63083267211914 25
EBAY 109.71768569946278 46.490879058837834 25
MCO 276.08709716796966 461.56475830078307 25
IBM -59.19059753417969 248.54098510742185 25
GRMN 482.4566650390625 660.9543151855469 25
FTNT 44.280029296875 105.57001113891602 25
EXPD -11.749336242675781 89.83426666259766 25
NWS 47.29444694519054 31.53445243835455 25
BDX -39.04127502441361 -75.60646057128906 25
CCI -142.96813201904297 -151.62012481689453 25
ADI 396.84324645996094 489.45164489746094 25
BLK -417.486083984375 -132.5972900390625 25
POOL -846.3833923339844 -807.3619689941406 25
ENPH -31.219932556152344 285.9001235961914 25
CE -96.30924987792969 -111.91017150878906 25
NTAP 571.2472076416016 88.06541442871097 25
HBAN 0.4763221740722692 1.4920806884765625 25
PNC 11.918701171875 -24.508880615234375 25
TJX 81.35406494140622 64.75582885742185 25
LEN 49.92424011230469 -24.293960571289062 25
SBAC -394.0553131103518 -813.8500823974618 25
SJM -118.0176696777346 -91.83648681640625 25
CNP 36.63473892211914 -0.8463726043701172 25
DUK 95.11810302734375 -16.246299743652344 25
LMT -120.05123901367165 128.034637451172 25
CPB 16.756984710693246 21.279796600341804 25
PSA -203.924072265625 -236.45068359375 25
APTV -82.91004943847656 -145.95005798339844 25
AMCR 6.059784889221191 -3.749903678894043 25
O -31.501789093017464 -23.223331451416016 25
BIO -374.8299255371094 -371.4497985839844 25
APH 189.68630599975575 175.23377609252918 25
EL -194.93060302734375 -499.23545837402344 25
CPRT 12.10000991821289 51.04000091552734 25
FOX 61.984275817871094 79.10089492797852 25
DOW 14.354026794433707 37.78899383544933 25
HCA 757.6763305664062 413.54864501953125 25
ICP-USD 3.3586854934692383 40.38058471679689 25
AAPL 679.0389709472665 766.7521362304697 25
TFX -554.1819763183589 -533.4293518066406 25
LVS -20.568958282470817 27.52104568481434 25
COO 14.162460327148438 53.22749328613281 25
SWK -142.11279296875 -215.19720458984375 25
ZTS -214.90029907226562 30.427520751953125 25
NTRS -13.476913452148438 -73.0252685546875 25
MAA 60.26329803466797 205.16178131103516 25
JNPR 89.85812950134277 89.74796867370605 25
J 138.32933807373047 65.8086166381836 25
REGN 1666.8494873046875 1068.7796630859375 25
LUV 0.47727966308599434 23.668130874633846 25
TRGP 627.8973159790039 463.0313034057617 25
EQR 53.606651306152344 68.19707489013672 25
CAG 18.13638687133789 3.307926177978512 25
EPAM -323.52998352050736 -329.52995300292923 25
CF -28.2552490234375 -14.198532104492188 25
